No.	MolID	Molecule	MP	RRT	logP	TSA	logH	logSw	logYw	dHf
49	PCB_049.HIN	2,4,2',5'-tetrachloro-1,1'-biphenyl	67.8	0.461	5.87	259.41	-999	7.12	-999	23.4
50	PCB_050.HIN	2,4,6,2'-tetrachloro-1,1'-biphenyl	-999	0.4007	5.75	247.83	-999	6.94	5.456	-999
51	PCB_051.HIN	2,4,2',6'-tetrachloro-1,1'-biphenyl	-999	0.4242	5.51	257.83	-999	6.65	-999	-999
52	PCB_052.HIN	2,5,2',5'-tetrachloro-1,1'-biphenyl	88	0.4557	5.79	259.41	3.42	7	6.203	-999
53	PCB_053.HIN	2,5,2',6'-tetrachloro-1,1'-biphenyl	103.7	0.4187	5.55	-999	4.06	6.65	5.847	-999
54	PCB_054.HIN	2,6,2',6'-tetrachloro-1,1'-biphenyl	-999	0.38	5.24	256.3	5.5	6.2	6.332	-999
55	PCB_055.HIN	2,3,4,3'-tetrachloro-1,1'-biphenyl	-999	0.5562	6.1	-999	-999	6.77	-999	-999
56	PCB_056.HIN	2,3,3',4'-tetrachloro-1,1'-biphenyl	96.5	0.5676	-999	-999	-999	-999	6.162	-999
57	PCB_057.HIN	2,3,5,3'-tetrachloro-1,1'-biphenyl	-999	0.5155	-999	-999	-999	-999	-999	-999
58	PCB_058.HIN	2,3,3',5'-tetrachloro-1,1'-biphenyl	-999	0.5267	-999	-999	-999	-999	-999	-999
59	PCB_059.HIN	2,3,6,3'-tetrachloro-1,1'-biphenyl	-999	0.486	-999	-999	-999	-999	-999	-999
60	PCB_060.HIN	2,3,4,4'-tetrachloro-1,1'-biphenyl	142	0.5676	6.24	259.15	-999	6.86	5.717	-999
61	PCB_061.HIN	2,3,4,5-tetrachloro-1,1'-biphenyl	92.3	0.5331	-999	254.95	-999	-999	6.603	25.2
62	PCB_062.HIN	2,3,4,6-tetrachloro-1,1'-biphenyl	-999	0.4685	-999	-999	-999	-999	-999	-999
63	PCB_063.HIN	2,3,5,4'-tetrachloro-1,1'-biphenyl	-999	0.529	6.1	-999	-999	6.77	6.264	-999
64	PCB_064.HIN	2,3,6,4'-tetrachloro-1,1'-biphenyl	-999	0.4999	5.76	-999	-999	7.02	-999	-999
65	PCB_065.HIN	2,3,5,6-tetrachloro-1,1'-biphenyl	79	0.4671	5.96	255.4	-999	7.25	-999	-999
66	PCB_066.HIN	2,4,3',4'-tetrachloro-1,1'-biphenyl	127.3	0.5447	5.98	258.97	-999	6.63	5.9	-999
67	PCB_067.HIN	2,4,5,3'-tetrachloro-1,1'-biphenyl	-999	0.5214	6.32	-999	-999	7.13	-999	-999
68	PCB_068.HIN	2,4,3',5'-tetrachloro-1,1'-biphenyl	-999	0.504	-999	-999	-999	-999	-999	-999
69	PCB_069.HIN	2,4,6,3'-tetrachloro-1,1'-biphenyl	-999	0.451	6.03	-999	-999	7.26	6.937	-999
70	PCB_070.HIN	2,5,3',4'-tetrachloro-1,1'-biphenyl	104	0.5407	6.22	258.97	-999	6.69	6.208	-999
71	PCB_071.HIN	2,6,3',4'-tetrachloro-1,1'-biphenyl	-999	0.4989	5.76	-999	-999	7.02	-999	-999
72	PCB_072.HIN	2,5,3',5'-tetrachloro-1,1'-biphenyl	-999	0.4984	-999	-999	-999	-999	-999	-999
73	PCB_073.HIN	2,6,3',5'-tetrachloro-1,1'-biphenyl	-999	0.4554	-999	-999	-999	-999	-999	-999
74	PCB_074.HIN	2,4,5,4'-tetrachloro-1,1'-biphenyl	-999	0.5341	6.1	-999	-999	6.77	6.018	-999
75	PCB_075.HIN	2,4,6,4'-tetrachloro-1,1'-biphenyl	-999	0.4643	6.03	258.52	-999	7.26	6.15	-999
76	PCB_076.HIN	2,3',4',5'-tetrachloro-1,1'-biphenyl	-999	0.5408	5.98	-999	-999	6.71	6.06	-999
77	PCB_077.HIN	3,4,3',4'-tetrachloro-1,1'-biphenyl	183	0.6295	-999	258.52	0.94	-999	7.186	-999
78	PCB_078.HIN	3,4,5,3'-tetrachloro-1,1'-biphenyl	-999	0.6024	-999	-999	-999	-999	-999	-999
79	PCB_079.HIN	3,4,3',5'-tetrachloro-1,1'-biphenyl	119.5	0.5894	-999	-999	-999	-999	-999	-999
80	PCB_080.HIN	3,5,3',5'-tetrachloro-1,1'-biphenyl	164	0.5464	-999	262.52	-999	-999	7.281	-999
81	PCB_081.HIN	3,4,5,4'-tetrachloro-1,1'-biphenyl	-999	0.6149	-999	-999	-999	-999	-999	-999
82	PCB_082.HIN	2,3,4,2',3'-pentachloro-1,1'-biphenyl	119.7	0.6453	-999	-999	-999	-999	6.119	-999
83	PCB_083.HIN	2,3,5,2',3'-pentachloro-1,1'-biphenyl	-999	0.6029	-999	272.93	-999	-999	-999	-999
84	PCB_084.HIN	2,3,6,2',3'-pentachloro-1,1'-biphenyl	-999	0.5744	5.6	-999	-999	6.78	-999	-999
85	PCB_085.HIN	2,3,4,2',4'-pentachloro-1,1'-biphenyl	-999	0.6224	6.18	-999	-999	7.62	-999	-999
86	PCB_086.HIN	2,3,4,5,2'-pentachloro-1,1'-biphenyl	99.9	0.6105	6.38	270.94	-999	7.87	6.316	-999
87	PCB_087.HIN	2,3,4,2',5'-pentachloro-1,1'-biphenyl	112.3	0.6175	6.23	272.97	-999	7.66	6.533	-999
88	PCB_088.HIN	2,3,4,6,2'-pentachloro-1,1'-biphenyl	99.9	0.5486	6.5	271.39	-999	7.92	7.058	-999
89	PCB_089.HIN	2,3,4,2',6'-pentachloro-1,1'-biphenyl	-999	0.5779	5.6	-999	-999	6.78	-999	-999
90	PCB_090.HIN	2,3,5,2',4'-pentachloro-1,1'-biphenyl	-999	0.5814	6.32	-999	-999	7.82	-999	-999
91	PCB_091.HIN	2,3,6,2',4'-pentachloro-1,1'-biphenyl	-999	0.5549	5.87	-999	-999	7.17	-999	-999
92	PCB_092.HIN	2,3,5,2',5'-pentachloro-1,1'-biphenyl	-999	0.5742	6.32	-999	-999	7.82	-999	-999
93	PCB_093.HIN	2,3,5,6,2'-pentachloro-1,1'-biphenyl	-999	0.5437	6.06	-999	-999	7.4	-999	-999
94	PCB_094.HIN	2,3,5,2',6'-pentachloro-1,1'-biphenyl	-999	0.5331	-999	-999	-999	-999	-999	-999
95	PCB_095.HIN	2,3,6,2',5'-pentachloro-1,1'-biphenyl	99.2	0.5464	5.92	273.41	-999	7.19	6.097	-999
96	PCB_096.HIN	2,3,6,2',6'-pentachloro-1,1'-biphenyl	-999	0.5057	-999	-999	-999	-999	-999	-999
97	PCB_097.HIN	2,3,2',4',5'-pentachloro-1,1'-biphenyl	81.5	0.61	6.3	-999	-999	7.76	6.505	-999
98	PCB_098.HIN	2,3,2',4',6'-pentachloro-1,1'-biphenyl	-999	0.5415	6.04	-999	-999	7.4	-999	-999
99	PCB_099.HIN	2,4,5,2',4'-pentachloro-1,1'-biphenyl	-999	0.588	6.41	274.92	-999	7.95	-999	-999
100	PCB_100.HIN	2,4,6,2',4'-pentachloro-1,1'-biphenyl	-999	0.5212	6.23	275.37	-999	7.66	6.935	-999
101	PCB_101.HIN	2,4,5,2',5'-pentachloro-1,1'-biphenyl	77	0.5816	-999	274.95	2.51	-999	6.91	18.8
102	PCB_102.HIN	2,4,5,2',6'-pentachloro-1,1'-biphenyl	-999	0.5431	-999	-999	-999	-999	-999	-999
103	PCB_103.HIN	2,4,6,2',5'-pentachloro-1,1'-biphenyl	-999	0.5142	6.11	-999	-999	7.47	-999	-999
104	PCB_104.HIN	2,4,6,2',6'-pentachloro-1,1'-biphenyl	-999	0.4757	-999	273.82	8.97	-999	6.727	-999
105	PCB_105.HIN	2,3,4,3',4'-pentachloro-1,1'-biphenyl	103	0.7049	6.79	272.52	-999	7.52	-999	-999
106	PCB_106.HIN	2,3,4,5,3'-pentachloro-1,1'-biphenyl	-999	0.668	6.92	-999	-999	7.68	-999	-999
107	PCB_107.HIN	2,3,5,3',4'-pentachloro-1,1'-biphenyl	-999	0.6628	-999	-999	-999	-999	-999	-999
108	PCB_108.HIN	2,3,4,3',5'-pentachloro-1,1'-biphenyl	-999	0.6626	-999	-999	-999	-999	-999	-999
109	PCB_109.HIN	2,3,4,6,3'-pentachloro-1,1'-biphenyl	-999	0.6016	-999	-999	-999	-999	-999	-999
110	PCB_110.HIN	2,3,6,3',4'-pentachloro-1,1'-biphenyl	-999	0.6314	6.2	272.98	-999	7.65	7.054	-999
111	PCB_111.HIN	2,3,5,3',5'-pentachloro-1,1'-biphenyl	-999	0.6183	-999	-999	-999	-999	-999	-999
112	PCB_112.HIN	2,3,5,6,3'-pentachloro-1,1'-biphenyl	-999	0.5986	6.41	-999	-999	7.76	-999	-999
113	PCB_113.HIN	2,3,6,3',5'-pentachloro-1,1'-biphenyl	-999	0.5862	6.45	-999	-999	7.95	-999	-999
114	PCB_114.HIN	2,3,4,5,4'-pentachloro-1,1'-biphenyl	98.5	0.6828	6.71	-999	-999	7.5	6.587	-999
115	PCB_115.HIN	2,3,4,6,4'-pentachloro-1,1'-biphenyl	-999	0.6171	6.44	-999	-999	7.96	-999	-999
116	PCB_116.HIN	2,3,4,5,6-pentachloro-1,1'-biphenyl	123	0.6132	-999	268.95	-999	-999	6.816	21.8
117	PCB_117.HIN	2,3,5,6,4'-pentachloro-1,1'-biphenyl	-999	0.615	6.39	-999	-999	7.88	-999	-999
118	PCB_118.HIN	2,4,5,3',4'-pentachloro-1,1'-biphenyl	111.5	0.6693	6.57	274.51	-999	7.33	6.553	-999
119	PCB_119.HIN	2,4,6,3',4'-pentachloro-1,1'-biphenyl	-999	0.5968	6.4	-999	-999	7.91	-999	-999
120	PCB_120.HIN	2,4,5,3',5'-pentachloro-1,1'-biphenyl	76.9	0.6256	6.3	-999	-999	-999	-999	-999
121	PCB_121.HIN	2,4,6,3',5'-pentachloro-1,1'-biphenyl	-999	0.5518	6.42	-999	-999	7.92	-999	-999
122	PCB_122.HIN	2,3,3',4',5'-pentachloro-1,1'-biphenyl	-999	0.6871	-999	-999	-999	-999	6.484	-999
123	Pcb_123.hin	2,4,3',4',5'-pentachloro-1,1'-biphenyl	-999	0.6658	6.64	-999	-999	7.42	-999	-999
124	PCB_124.HIN	2,5,3',4',5'-pentachloro-1,1'-biphenyl	-999	0.6584	-999	274.5	-999	-999	6.523	-999
125	PCB_125.HIN	2,6,3',4',5'-pentachloro-1,1'-biphenyl	-999	0.6142	-999	-999	-999	-999	-999	-999
126	PCB_126.HIN	3,4,5,3',4'-pentachloro-1,1'-biphenyl	-999	0.7512	-999	-999	-999	-999	-999	-999
127	PCB_127.HIN	3,4,5,3',5'-pentachloro-1,1'-biphenyl	-999	0.7078	-999	-999	-999	-999	-999	-999
128	PCB_128.HIN	2,3,4,2',3',4'-hexachloro-1,1'-biphenyl	150	0.7761	-999	286.49	0.302	8.33	7.531	29.2
129	PCB_129.HIN	2,3,4,5,2',3'-hexachloro-1,1'-biphenyl	84.9	0.7501	6.76	286.49	-999	8.42	7.152	-999
130	PCB_130.HIN	2,3,4,2',3',5'-hexachloro-1,1'-biphenyl	-999	0.7284	7.3	-999	-999	-999	-999	-999
131	PCB_131.HIN	2,3,4,6,2',3'-hexachloro-1,1'-biphenyl	-999	0.6853	6.78	-999	-999	8.48	-999	-999
132	PCB_132.HIN	2,3,4,2',3',6'-hexachloro-1,1'-biphenyl	-999	0.7035	6.2	-999	-999	7.65	-999	-999
133	PCB_133.HIN	2,3,5,2',3',5'-hexachloro-1,1'-biphenyl	128.5	0.6871	-999	-999	-999	-999	-999	-999
134	PCB_134.HIN	2,3,5,6,2',3'-hexachloro-1,1'-biphenyl	99.9	0.6796	6.2	286.93	-999	7.65	7.077	-999
135	PCB_135.HIN	2,3,5,2',3',6'-hexachloro-1,1'-biphenyl	-999	0.6563	6.32	-999	-999	7.82	6.702	-999
136	PCB_136.HIN	2,3,6,2',3',6'-hexachloro-1,1'-biphenyl	114.3	0.6257	-999	287.38	-999	-999	6.914	21.1
137	PCB_137.HIN	2,3,4,5,2',4'-hexachloro-1,1'-biphenyl	77.5	0.7329	6.82	-999	-999	8.52	7.118	-999
138	PCB_138.HIN	2,3,4,2',4',5'-hexachloro-1,1'-biphenyl	81	0.7403	6.73	288.52	-999	8.38	7.14	-999
139	PCB_139.HIN	2,3,4,6,2',4'-hexachloro-1,1'-biphenyl	-999	0.6707	-999	-999	-999	-999	6.996	-999
140	PCB_140.HIN	2,3,4,2',4',6'-hexachloro-1,1'-biphenyl	-999	0.6707	6.58	-999	-999	8.24	-999	-999
141	PCB_141.HIN	2,3,4,5,2',5'-hexachloro-1,1'-biphenyl	-999	0.7203	6.75	-999	-999	8.42	7.085	-999
142	PCB_142.HIN	2,3,4,5,6,2'-hexachloro-1,1'-biphenyl	-999	0.6848	-999	-999	-999	-999	-999	-999
143	PCB_143.HIN	2,3,4,5,2',6'-hexachloro-1,1'-biphenyl	-999	0.6789	6.56	-999	-999	8.13	-999	-999
144	PCB_144.HIN	2,3,4,6,2',5'-hexachloro-1,1'-biphenyl	-999	0.6563	6.45	-999	-999	8.01	-999	-999
145	PCB_145.HIN	2,3,4,6,2',6'-hexachloro-1,1'-biphenyl	-999	0.6149	-999	-999	-999	-999	-999	-999
146	PCB_146.HIN	2,3,5,2',4',5'-hexachloro-1,1'-biphenyl	-999	0.6955	6.85	-999	-999	8.58	-999	-999
147	PCB_147.HIN	2,3,5,6,2',4'-hexachloro-1,1'-biphenyl	-999	0.6608	-999	-999	-999	-999	-999	-999
148	PCB_148.HIN	2,3,5,2',4',6'-hexachloro-1,1'-biphenyl	-999	0.6243	-999	-999	-999	-999	-999	-999
149	PCB_149.HIN	2,3,6,2',4',5'-hexachloro-1,1'-biphenyl	-999	0.6672	6.41	288.96	-999	7.94	-999	-999
150	PCB_150.HIN	2,3,6,2',4',6'-hexachloro-1,1'-biphenyl	-999	0.5969	-999	-999	-999	-999	-999	-999
151	PCB_151.HIN	2,3,5,6,2',5'-hexachloro-1,1'-biphenyl	100.5	0.6499	6.42	-999	-999	7.93	6.682	-999
152	PCB_152.HIN	2,3,5,6,2',6'-hexachloro-1,1'-biphenyl	-999	0.6062	-999	-999	-999	-999	-999	-999
153	PCB_153.HIN	2,4,5,2',4',5'-hexachloro-1,1'-biphenyl	103.5	0.7036	6.8	290.5	1.32	8.49	7.503	-999
154	PCB_154.HIN	2,4,5,2',4',6'-hexachloro-1,1'-biphenyl	-999	0.6349	6.65	-999	-999	8.12	-999	-999
155	PCB_155.HIN	2,4,6,2',4',6'-hexachloro-1,1'-biphenyl	112.5	0.5666	6.54	291.36	7.55	8.12	7.88	17.5
156	PCB_156.HIN	2,3,4,5,3',4'-hexachloro-1,1'-biphenyl	-999	0.8105	7.44	288.07	-999	8.31	6.811	-999
157	PCB_157.HIN	2,3,4,3',4',5'-hexachloro-1,1'-biphenyl	-999	0.8184	-999	-999	-999	-999	-999	-999
158	PCB_158.HIN	2,3,4,6,3',4'-hexachloro-1,1'-biphenyl	-999	0.7429	6.78	-999	-999	8.48	6.838	-999
159	PCB_159.HIN	2,3,4,5,3',5'-hexachloro-1,1'-biphenyl	-999	0.7655	-999	-999	-999	-999	-999	-999
160	PCB_160.HIN	2,3,4,5,6,3'-hexachloro-1,1'-biphenyl	-999	0.7396	-999	-999	-999	-999	-999	-999
161	PCB_161.HIN	2,3,4,6,3',5'-hexachloro-1,1'-biphenyl	-999	0.6968	-999	-999	-999	-999	-999	-999
162	PCB_162.HIN	2,3,5,3',4',5'-hexachloro-1,1'-biphenyl	-999	0.7737	-999	-999	-999	-999	-999	-999
163	PCB_163.HIN	2,3,5,6,3',4'-hexachloro-1,1'-biphenyl	-999	0.7396	6.78	-999	-999	8.48	7.209	-999
164	PCB_164.HIN	2,3,6,3',4',5'-hexachloro-1,1'-biphenyl	-999	0.7399	6.63	-999	-999	8.27	-999	-999
165	PCB_165.HIN	2,3,5,6,3',5'-hexachloro-1,1'-biphenyl	-999	0.692	7	-999	-999	-999	-999	-999
166	PCB_166.HIN	2,3,4,5,6,4'-hexachloro-1,1'-biphenyl	162.5	0.7572	-999	-999	-999	-999	-999	-999
167	PCB_167.HIN	2,4,5,3',4',5'-hexachloro-1,1'-biphenyl	-999	0.7814	7.29	-999	-999	8.21	-999	-999
168	PCB_168.HIN	2,4,6,3',4',5'-hexachloro-1,1'-biphenyl	-999	0.7068	-999	-999	-999	-999	-999	-999
169	PCB_169.HIN	3,4,5,3',4',5'-hexachloro-1,1'-biphenyl	201.5	0.8625	7.55	289.64	-999	8.85	-999	-999
170	PCB_170.HIN	2,3,4,5,2',3',4'-heptachloro-1,1'-biphenyl	135	0.874	7.08	-999	-999	8.9	6.968	-999
171	PCB_171.HIN	2,3,4,6,2',3',4'-heptachloro-1,1'-biphenyl	122.3	0.8089	-999	302.48	-999	-999	7.218	20.3
172	PCB_172.HIN	2,3,4,5,2',3',5'-heptachloro-1,1'-biphenyl	-999	0.8278	7.21	-999	-999	9.1	-999	-999
173	PCB_173.HIN	2,3,4,5,6,2',3'-heptachloro-1,1'-biphenyl	-999	0.8152	-999	-999	-999	-999	-999	-999
174	PCB_174.HIN	2,3,4,5,2',3',6'-heptachloro-1,1'-biphenyl	130.6	0.7965	6.85	-999	-999	8.59	6.837	-999
175	PCB_175.HIN	2,3,4,6,2',3',5'-heptachloro-1,1'-biphenyl	-999	0.7611	6.92	-999	-999	8.68	-999	-999
176	PCB_176.HIN	2,3,4,6,2',3',6'-heptachloro-1,1'-biphenyl	-999	0.7305	6.55	-999	-999	8.15	-999	-999
177	PCB_177.HIN	2,3,4,2',3',5',6'-heptachloro-1,1'-biphenyl	-999	0.8031	6.73	-999	-999	8.42	-999	-999
178	PCB_178.HIN	2,3,5,6,2',3',5'-heptachloro-1,1'-biphenyl	-999	0.7537	6.85	-999	-999	8.59	-999	-999
179	PCB_179.HIN	2,3,5,6,2',3',6'-heptachloro-1,1'-biphenyl	-999	0.7205	6.41	-999	-999	7.94	-999	-999
180	PCB_180.HIN	2,3,4,5,2',4',5'-heptachloro-1,1'-biphenyl	114.5	0.8362	7.21	304.51	-999	9.1	7.149	-999
181	PCB_181.HIN	2,3,4,5,6,2',4'-heptachloro-1,1'-biphenyl	-999	0.7968	7.13	-999	-999	8.97	-999	-999
182	PCB_182.HIN	2,3,4,5,2',4',6'-heptachloro-1,1'-biphenyl	152.5	0.7653	6.92	-999	-999	8.68	-999	-999
183	PCB_183.HIN	2,3,4,6,2',4',5'-heptachloro-1,1'-biphenyl	-999	0.772	7.04	-999	-999	8.85	7.332	-999
184	PCB_184.HIN	2,3,4,6,2',4',6'-heptachloro-1,1'-biphenyl	-999	0.7016	-999	-999	-999	-999	-999	-999
185	PCB_185.HIN	2,3,4,5,6,2',5'-heptachloro-1,1'-biphenyl	148.5	0.7848	6.99	302.51	-999	8.75	7.098	-999
186	PCB_186.HIN	2,3,4,5,6,2',6'-heptachloro-1,1'-biphenyl	-999	0.7416	-999	-999	-999	-999	-999	-999
187	PCB_187.HIN	2,3,5,6,2',4',5'-heptachloro-1,1'-biphenyl	-999	0.7654	-999	304.5	-999	-999	7.161	-999
188	PCB_188.HIN	2,3,5,6,2',4',6'-heptachloro-1,1'-biphenyl	-999	0.692	6.78	-999	-999	8.49	-999	-999
189	PCB_189.HIN	2,3,4,5,3',4',5'-heptachloro-1,1'-biphenyl	178	0.9142	7.72	-999	-999	8.72	-999	-999
190	PCB_190.HIN	2,3,4,5,6,3',4'-heptachloro-1,1'-biphenyl	-999	0.874	7.08	-999	-999	8.9	-999	-999
191	PCB_191.HIN	2,3,4,6,3',4',5'-heptachloro-1,1'-biphenyl	-999	0.8447	7.21	-999	-999	9.1	-999	-999
192	PCB_192.HIN	2,3,4,5,6,3',5'-heptachloro-1,1'-biphenyl	-999	0.8269	7.21	-999	-999	9.1	-999	-999
193	PCB_193.HIN	2,3,5,6,3',4',5'-heptachloro-1,1'-biphenyl	-999	0.8397	7.21	-999	-999	9.1	-999	-999
194	PCB_194.HIN	2,3,4,5,2',3',4',5'-octachloro-1,1'-biphenyl	159	0.962	7.62	317.62	-999	9.7	8.227	-999
195	PCB_195.HIN	2,3,4,5,6,2',3',4'-octachloro-1,1'-biphenyl	-999	0.9321	7.35	-999	-999	9.29	-999	-999
196	PCB_196.HIN	2,3,4,5,2',3',4',6'-octachloro-1,1'-biphenyl	-999	0.8938	7.43	-999	-999	9.42	-999	-999
197	PCB_197.HIN	2,3,4,6,2',3',4',6'-octachloro-1,1'-biphenyl	-999	0.8293	7.21	-999	-999	9.1	-999	-999
198	PCB_198.HIN	2,3,4,5,6,2',3',5'-octachloro-1,1'-biphenyl	-999	0.8845	7.43	-999	-999	9.42	-999	-999
199	PCB_199.HIN	2,3,4,5,6,2',3',6'-octachloro-1,1'-biphenyl	-999	0.8494	7.21	-999	-999	9.1	-999	-999
200	PCB_200.HIN	2,3,4,6,2',3',5',6'-octachloro-1,1'-biphenyl	-999	0.8197	7.3	-999	-999	9.2	-999	-999
201	PCB_201.HIN	2,3,4,5,2',3',5',6'-octachloro-1,1'-biphenyl	-999	0.8875	7.35	-999	-999	9.29	-999	-999
202	PCB_202.HIN	2,3,5,6,2',3',5',6'-octachloro-1,1'-biphenyl	161	0.8089	-999	318.47	-999	-999	8.293	22.8
203	PCB_203.HIN	2,3,4,5,6,2',4',5'-octachloro-1,1'-biphenyl	-999	0.8938	7.49	-999	-999	9.5	-999	-999
204	PCB_204.HIN	2,3,4,5,6,2',4',6'-octachloro-1,1'-biphenyl	-999	0.8217	7.48	-999	-999	9.48	-999	-999
